protein_row_id,structure_unique_sequence_id,PLMSearch_query_original,PLMSearch_query_normalized,PLMSearch_hit_count,PLMSearch_top1_target,PLMSearch_top1_score,PLMSearch_top1_confidence_level,PLMSearch_top2_target,PLMSearch_top3_target,PLMSearch_top4_target,PLMSearch_top5_target,PLMSearch_top6_target,PLMSearch_top7_target,PLMSearch_top8_target,PLMSearch_top9_target,PLMSearch_top10_target,PLMSearch_top11_target,PLMSearch_top12_target,PLMSearch_top13_target,PLMSearch_top14_target,PLMSearch_top15_target,PLMSearch_top16_target,PLMSearch_top17_target,PLMSearch_top18_target,PLMSearch_top19_target,PLMSearch_top20_target
1083,SEQ_464C1F9F1210,R0330_adnectin_SEQ_464C1F9F1210|adnectin|Tencon,R0330_adnectin_SEQ_464C1F9F1210|adnectin|Tencon,20,P22081,0.6717847665395738,medium,Q16473,P83907,Q14213,B6HQN4,Q969J5,Q91289,Q80XF5,Q7TNI4,O35228,P39804,Q9UMZ3,P23468,P20956,Q64487,P01819,P01694,Q54N45,P0C5E4,Q58151
1084,SEQ_EE12A7C4C03E,R0331_adnectin_SEQ_EE12A7C4C03E|adnectin|Tencon,R0331_adnectin_SEQ_EE12A7C4C03E|adnectin|Tencon,20,P22081,0.677631512945652,medium,Q16473,P83907,Q14213,Q80XF5,Q969J5,Q7TNI4,B6HQN4,O35228,P39804,Q91289,P01694,P20956,P01819,P01823,Q9UMZ3,P01811,P01644,P01645,P01652
1085,SEQ_DCD911381F84,R0332_adnectin_SEQ_DCD911381F84|adnectin|Tencon27,R0332_adnectin_SEQ_DCD911381F84|adnectin|Tencon27,20,P22081,0.6749330201589494,medium,Q16473,Q14213,Q969J5,Q80XF5,P83907,Q7TNI4,O35228,Q91289,P39804,B6HQN4,Q9UMZ3,P20956,P01819,P0C5E4,P23468,O88488,P22080,Q64487,P01694
1086,SEQ_1BFF1C273554,R0333_adnectin_SEQ_1BFF1C273554|adnectin|Tencon27,R0333_adnectin_SEQ_1BFF1C273554|adnectin|Tencon27,20,P22081,0.6734302493803597,medium,Q16473,Q14213,P83907,Q969J5,Q80XF5,Q7TNI4,O35228,P39804,Q91289,B6HQN4,Q9UMZ3,P20956,P01819,P01829,P0C5E4,P23468,Q58151,O88488,P01825
1087,SEQ_52D5D152BFF5,R0334_adnectin_SEQ_52D5D152BFF5|adnectin|Tencon27,R0334_adnectin_SEQ_52D5D152BFF5|adnectin|Tencon27,20,Q16473,0.665410001891594,medium,P22081,Q91289,Q969J5,Q14213,Q80XF5,Q7TNI4,P83907,O35228,Q9UMZ3,B6HQN4,Q28902,P23468,P0C5E4,Q64487,P39804,O88488,A2A8L5,Q13332,B0V2N1
1088,SEQ_EEAA34738F23,R0335_adnectin_SEQ_EEAA34738F23|adnectin|Tencon27,R0335_adnectin_SEQ_EEAA34738F23|adnectin|Tencon27,20,P22081,0.6672159932699202,medium,Q16473,Q91289,Q969J5,Q80XF5,Q7TNI4,Q14213,P83907,B6HQN4,Q9UMZ3,O35228,P23468,P0C5E4,Q64487,O88488,Q28902,P39804,A2A8L5,Q13332,Q64604
1089,SEQ_1BDCC06F8537,R0336_adnectin_SEQ_1BDCC06F8537|adnectin|Tencon27,R0336_adnectin_SEQ_1BDCC06F8537|adnectin|Tencon27,20,P22081,0.6646041077827647,medium,Q16473,Q91289,Q969J5,Q80XF5,Q14213,P83907,Q7TNI4,B6HQN4,O35228,Q9UMZ3,P39804,P23468,P0C5E4,Q64487,O88488,Q28902,A2A8L5,Q13332,P20956
1090,SEQ_B64F18BA2482,R0337_adnectin_SEQ_B64F18BA2482|adnectin|Tencon27,R0337_adnectin_SEQ_B64F18BA2482|adnectin|Tencon27,20,Q16473,0.6715301827615363,medium,P22081,Q91289,Q969J5,Q80XF5,P83907,Q14213,Q7TNI4,Q9UMZ3,B6HQN4,O35228,P23468,Q64487,P0C5E4,O88488,A2A8L5,Q28902,Q13332,Q64604,A4IFW2
1091,SEQ_E800024E95B7,R0338_adnectin_SEQ_E800024E95B7|adnectin|Tencon,R0338_adnectin_SEQ_E800024E95B7|adnectin|Tencon,20,Q16473,0.6630338411814307,medium,P22081,Q91289,Q969J5,P83907,Q80XF5,Q14213,Q7TNI4,B6HQN4,Q9UMZ3,O35228,P23468,Q64487,P0C5E4,O88488,Q28902,A2A8L5,Q13332,P39804,Q64604
1092,SEQ_6401B7529C24,R0339_adnectin_SEQ_6401B7529C24|adnectin|Tencon27,R0339_adnectin_SEQ_6401B7529C24|adnectin|Tencon27,20,P22081,0.6633826523991395,medium,Q16473,Q91289,Q969J5,Q80XF5,Q7TNI4,P83907,Q14213,B6HQN4,Q9UMZ3,O35228,P23468,Q64487,P0C5E4,O88488,Q28902,A2A8L5,Q13332,Q64604,A4IFW2
1093,SEQ_DB43FDC07B11,R0340_adnectin_SEQ_DB43FDC07B11|adnectin|Tencon,R0340_adnectin_SEQ_DB43FDC07B11|adnectin|Tencon,20,P22081,0.6671480225164892,medium,Q16473,Q91289,Q969J5,Q80XF5,Q14213,Q7TNI4,P83907,B6HQN4,Q9UMZ3,O35228,P23468,Q64487,P0C5E4,O88488,P39804,A2A8L5,Q13332,Q28902,Q64604
1096,SEQ_E3682B5C5EA5,R0341_adnectin_SEQ_E3682B5C5EA5|adnectin|Tencon,R0341_adnectin_SEQ_E3682B5C5EA5|adnectin|Tencon,20,P22081,0.66711327494545,medium,Q16473,P83907,Q14213,Q969J5,Q80XF5,Q7TNI4,B6HQN4,O35228,P20956,P01694,P01819,P39804,P01829,P20957,P01652,P01644,P01811,P04940,P01823
1097,SEQ_DB22CB7A7D51,R0342_adnectin_SEQ_DB22CB7A7D51|adnectin|Tencon27,R0342_adnectin_SEQ_DB22CB7A7D51|adnectin|Tencon27,20,P22081,0.6646675724336433,medium,Q16473,P83907,B6HQN4,Q14213,Q80XF5,Q969J5,Q7TNI4,P20956,O35228,P01694,P01819,P39804,P01829,P20957,P01652,P01811,P01644,P01651,P01823
1098,SEQ_16718319BF37,R0343_adnectin_SEQ_16718319BF37|adnectin|Tencon,R0343_adnectin_SEQ_16718319BF37|adnectin|Tencon,20,P22081,0.676667741278429,medium,Q16473,Q14213,Q969J5,Q91289,P83907,Q80XF5,Q7TNI4,O35228,Q9UMZ3,B6HQN4,P23468,P39804,Q64487,P0C5E4,O88488,A2A8L5,Q28902,Q13332,A4IFW2
1099,SEQ_F04D396B988C,R0344_adnectin_SEQ_F04D396B988C|adnectin|Tencon,R0344_adnectin_SEQ_F04D396B988C|adnectin|Tencon,20,P22081,0.6598275645960996,medium,Q16473,P83907,Q969J5,B6HQN4,Q80XF5,Q14213,Q7TNI4,Q91289,O35228,P39804,P01819,P20956,P01694,Q9UMZ3,P01829,P20957,P01823,O18926,P01811
1100,SEQ_5A8FB44BF8B4,R0345_adnectin_SEQ_5A8FB44BF8B4|adnectin|Tencon27,R0345_adnectin_SEQ_5A8FB44BF8B4|adnectin|Tencon27,20,P22081,0.6852238331538771,medium,Q16473,P83907,Q14213,Q80XF5,Q969J5,Q7TNI4,O35228,B6HQN4,P39804,Q91289,Q9UMZ3,P20956,P01819,P01694,P01811,P23468,P01823,P01644,P01825
1101,SEQ_CD372F3B760D,R0346_adnectin_SEQ_CD372F3B760D|adnectin|Tencon27,R0346_adnectin_SEQ_CD372F3B760D|adnectin|Tencon27,20,Q16473,0.6925956004113196,medium,P22081,Q91289,Q969J5,Q80XF5,Q7TNI4,Q14213,Q9UMZ3,P23468,Q64487,P83907,O35228,B6HQN4,Q28902,P0C5E4,A2A8L5,Q13332,O88488,Q64604,B0V2N1
1102,SEQ_3090A28E0EFD,R0347_adnectin_SEQ_3090A28E0EFD|adnectin|Tencon27,R0347_adnectin_SEQ_3090A28E0EFD|adnectin|Tencon27,20,P22081,0.6923453942414284,medium,Q16473,Q969J5,P83907,Q14213,Q80XF5,Q7TNI4,O35228,B6HQN4,Q91289,P01819,P20956,P39804,Q9UMZ3,P01829,P01694,P20957,P22080,P01825,P0C5E4
1103,SEQ_626829ED76EF,R0348_adnectin_SEQ_626829ED76EF|adnectin|Tencon27,R0348_adnectin_SEQ_626829ED76EF|adnectin|Tencon27,20,P22081,0.6928108925634575,medium,Q16473,Q969J5,P83907,Q80XF5,Q14213,Q7TNI4,O35228,B6HQN4,P39804,P20956,P01819,Q91289,Q9UMZ3,P01694,P01829,P20957,P22080,P01644,P01645
1104,SEQ_D2C125EECAAE,R0349_adnectin_SEQ_D2C125EECAAE|adnectin|Tencon27,R0349_adnectin_SEQ_D2C125EECAAE|adnectin|Tencon27,20,P22081,0.6774190419933319,medium,Q16473,P83907,Q14213,Q969J5,Q80XF5,Q7TNI4,B6HQN4,P20956,O35228,P01819,Q58151,P39804,P01829,P20957,P01811,P01651,P01652,P01825,P01694
1105,SEQ_55B9A72DFDD9,R0350_adnectin_SEQ_55B9A72DFDD9|adnectin|Tencon,R0350_adnectin_SEQ_55B9A72DFDD9|adnectin|Tencon,20,P22081,0.6724519826393127,medium,Q16473,P83907,Q14213,Q969J5,Q80XF5,Q7TNI4,O35228,B6HQN4,P39804,Q91289,P20956,P01819,P01694,O18926,P01644,P01645,P01647,Q9UMZ3,P01652
1106,SEQ_71D6B30822DD,R0351_adnectin_SEQ_71D6B30822DD|adnectin|Tencon27,R0351_adnectin_SEQ_71D6B30822DD|adnectin|Tencon27,20,P22081,0.6772672053506845,medium,Q16473,P83907,Q80XF5,Q14213,Q969J5,Q7TNI4,O35228,P39804,B6HQN4,P01694,Q91289,P20956,P01823,P01644,P01819,P01645,P01647,P01811,P01652
1107,SEQ_13D25173E65C,R0352_adnectin_SEQ_13D25173E65C|adnectin|Tencon,R0352_adnectin_SEQ_13D25173E65C|adnectin|Tencon,20,P22081,0.6779755231852533,medium,Q16473,P83907,Q14213,Q969J5,Q80XF5,B6HQN4,Q7TNI4,O35228,Q91289,P39804,P20956,P01694,P01819,Q9UMZ3,P01811,P01823,P01829,P01652,P01644
1108,SEQ_5F183315D4EC,R0353_adnectin_SEQ_5F183315D4EC|adnectin|Tencon27,R0353_adnectin_SEQ_5F183315D4EC|adnectin|Tencon27,20,P22081,0.6749941524878125,medium,Q16473,P83907,Q14213,B6HQN4,Q969J5,Q80XF5,Q7TNI4,O35228,Q91289,P39804,P20956,Q9UMZ3,P01694,P01819,P01829,P01811,P20957,P01823,P01825
1109,SEQ_9C1BFE9F677E,R0354_adnectin_SEQ_9C1BFE9F677E|adnectin|Tencon27,R0354_adnectin_SEQ_9C1BFE9F677E|adnectin|Tencon27,20,P22081,0.6778055419508746,medium,Q16473,Q14213,Q969J5,Q80XF5,Q91289,P83907,Q7TNI4,O35228,B6HQN4,Q9UMZ3,P23468,Q64487,P39804,P0C5E4,O88488,Q13332,B0V2N1,A2A8L5,P20956
1110,SEQ_28575910E564,R0355_adnectin_SEQ_28575910E564|adnectin|Tencon,R0355_adnectin_SEQ_28575910E564|adnectin|Tencon,20,Q16473,0.691933666176844,medium,P22081,Q91289,Q14213,Q80XF5,Q969J5,Q7TNI4,O35228,Q9UMZ3,P23468,P83907,Q64487,Q28902,Q13332,A2A8L5,P0C5E4,B0V2N1,Q64604,O88488,A4IFW2
1111,SEQ_0650A928E56C,R0356_adnectin_SEQ_0650A928E56C|adnectin|Tencon27,R0356_adnectin_SEQ_0650A928E56C|adnectin|Tencon27,20,P22081,0.6790748431211853,medium,Q16473,Q969J5,Q14213,Q80XF5,P83907,Q7TNI4,Q91289,O35228,B6HQN4,Q9UMZ3,P23468,P39804,Q64487,P0C5E4,A2A8L5,O88488,P20956,Q13332,Q64604
1112,SEQ_D69AD2658C17,R0357_adnectin_SEQ_D69AD2658C17|adnectin|Tencon,R0357_adnectin_SEQ_D69AD2658C17|adnectin|Tencon,20,P22081,0.6733757546527102,medium,Q16473,Q14213,Q91289,Q80XF5,Q969J5,P83907,Q7TNI4,B6HQN4,O35228,Q9UMZ3,P23468,P0C5E4,Q64487,O88488,A2A8L5,P39804,Q28902,Q64604,Q13332
1113,SEQ_C1A3FDDD2545,R0358_adnectin_SEQ_C1A3FDDD2545|adnectin|Tencon,R0358_adnectin_SEQ_C1A3FDDD2545|adnectin|Tencon,20,P22081,0.6734556110614776,medium,Q16473,Q969J5,Q91289,Q80XF5,Q7TNI4,Q14213,B6HQN4,P83907,O35228,Q9UMZ3,P23468,P0C5E4,Q64487,O88488,P39804,Q28902,A2A8L5,Q64604,Q13332
1114,SEQ_3AB94A745EF2,R0359_adnectin_SEQ_3AB94A745EF2|adnectin|Tencon,R0359_adnectin_SEQ_3AB94A745EF2|adnectin|Tencon,20,P22081,0.6705354452205086,medium,Q16473,P83907,Q14213,Q969J5,Q80XF5,B6HQN4,Q7TNI4,O35228,Q91289,P39804,Q9UMZ3,P20956,P01819,P23468,P01694,P01823,Q64487,P01825,P01811
1115,SEQ_DAEB38D3EA2B,R0360_adnectin_SEQ_DAEB38D3EA2B|adnectin|Tencon,R0360_adnectin_SEQ_DAEB38D3EA2B|adnectin|Tencon,20,P22081,0.6683328121730803,medium,Q16473,P83907,Q14213,Q969J5,Q80XF5,Q91289,Q7TNI4,B6HQN4,O35228,P39804,Q9UMZ3,P20956,P23468,P01819,Q64487,P01694,P01823,P01825,P01811
1116,SEQ_C8F187AC8C3D,R0361_adnectin_SEQ_C8F187AC8C3D|adnectin|Tencon,R0361_adnectin_SEQ_C8F187AC8C3D|adnectin|Tencon,20,P22081,0.6684776799894045,medium,Q16473,Q91289,Q969J5,Q80XF5,Q7TNI4,P83907,Q14213,Q9UMZ3,B6HQN4,O35228,P23468,Q64487,P0C5E4,O88488,P39804,A2A8L5,Q13332,A4IFW2,Q64604
1117,SEQ_BAE0174125B3,R0362_adnectin_SEQ_BAE0174125B3|adnectin|Tencon,R0362_adnectin_SEQ_BAE0174125B3|adnectin|Tencon,20,P22081,0.6672603737922671,medium,Q16473,Q91289,P83907,Q80XF5,Q969J5,Q7TNI4,Q14213,Q9UMZ3,B6HQN4,O35228,P23468,Q64487,P0C5E4,O88488,P39804,A2A8L5,Q13332,Q64604,A4IFW2
1118,SEQ_0FFAD25AE2C0,R0363_adnectin_SEQ_0FFAD25AE2C0|adnectin|Tencon,R0363_adnectin_SEQ_0FFAD25AE2C0|adnectin|Tencon,20,Q16473,0.6708209807586485,medium,P22081,Q91289,Q80XF5,Q969J5,Q7TNI4,Q14213,Q9UMZ3,P83907,P23468,B6HQN4,O35228,Q64487,P0C5E4,O88488,Q28902,A2A8L5,A4IFW2,Q64604,Q13332
1119,SEQ_6080BDBE61AD,R0364_adnectin_SEQ_6080BDBE61AD|adnectin|Tencon,R0364_adnectin_SEQ_6080BDBE61AD|adnectin|Tencon,20,Q16473,0.674721842279844,medium,P22081,Q91289,Q969J5,Q14213,Q80XF5,Q7TNI4,Q9UMZ3,P83907,O35228,P23468,B6HQN4,Q64487,P0C5E4,A2A8L5,Q64604,O88488,Q13332,A4IFW2,B0V2N1
1120,SEQ_CFBA80427331,R0365_adnectin_SEQ_CFBA80427331|adnectin|Tencon27,R0365_adnectin_SEQ_CFBA80427331|adnectin|Tencon27,20,P22081,0.662394818074894,medium,Q16473,P83907,B6HQN4,Q969J5,Q14213,Q80XF5,P39804,Q7TNI4,P01694,P20956,P01819,P01644,P01823,P01645,O35228,P01647,P01652,P01811,P01829
1121,SEQ_2FDA7FA2E528,R0366_adnectin_SEQ_2FDA7FA2E528|adnectin|Tencon27,R0366_adnectin_SEQ_2FDA7FA2E528|adnectin|Tencon27,20,P22081,0.6675645628277778,medium,Q16473,P83907,B6HQN4,Q969J5,Q80XF5,Q7TNI4,Q14213,P01694,P39804,P20956,P01819,P01823,O35228,P01644,P01645,P01811,P01647,P01652,P01648
1122,SEQ_C582F238D434,R0367_adnectin_SEQ_C582F238D434|adnectin|Tencon27,R0367_adnectin_SEQ_C582F238D434|adnectin|Tencon27,20,P22081,0.6789961652582548,medium,Q16473,P83907,Q14213,Q80XF5,Q7TNI4,Q969J5,B6HQN4,O35228,P39804,P20956,P01819,P01811,P01694,P01825,Q58151,P01823,P01652,P01651,P01644
1123,SEQ_C13DA9C40D32,R0368_centyrin_SEQ_C13DA9C40D32|centyrin|Tencon,R0368_centyrin_SEQ_C13DA9C40D32|centyrin|Tencon,20,P22081,0.6703689362450405,medium,Q16473,Q969J5,Q80XF5,Q14213,P83907,Q7TNI4,B6HQN4,Q91289,O35228,Q9UMZ3,P23468,P39804,P0C5E4,Q64487,O88488,A2A8L5,Q13332,B0V2N1,Q64604
1125,SEQ_EAEFC9A450F8,R0369_adnectin_SEQ_EAEFC9A450F8|adnectin|Tencon,R0369_adnectin_SEQ_EAEFC9A450F8|adnectin|Tencon,20,P22081,0.6891814720475864,medium,P83907,Q7TNI4,Q80XF5,Q969J5,Q16473,Q14213,O35228,B6HQN4,P01819,P20956,P39804,P22080,P01694,P20957,P01829,P01811,P01645,P01644,Q9UMZ3
1126,SEQ_5DB9D5B06D59,R0370_adnectin_SEQ_5DB9D5B06D59|adnectin|Fibronectin type III domain,R0370_adnectin_SEQ_5DB9D5B06D59|adnectin|Fibronectin_type_III_domain,20,P22081,0.6647395298971936,medium,Q16473,Q91289,Q969J5,Q80XF5,Q7TNI4,Q14213,P83907,B6HQN4,Q9UMZ3,O35228,P23468,P0C5E4,O88488,Q64487,Q28902,P39804,A2A8L5,Q13332,Q64604
1127,SEQ_F1C914784257,R0371_adnectin_SEQ_F1C914784257|adnectin|Tencon,R0371_adnectin_SEQ_F1C914784257|adnectin|Tencon,20,Q16473,0.6886007181392095,medium,P22081,Q91289,Q80XF5,Q969J5,Q7TNI4,Q14213,Q9UMZ3,O35228,B6HQN4,P23468,Q28902,Q64487,P83907,P0C5E4,O88488,A2A8L5,Q13332,Q64604,A4IFW2
1128,SEQ_49719762CC55,R0372_adnectin_SEQ_49719762CC55|adnectin|Tencon,R0372_adnectin_SEQ_49719762CC55|adnectin|Tencon,20,P22081,0.6614807468895911,medium,Q16473,Q969J5,Q7TNI4,P83907,Q80XF5,B6HQN4,Q14213,O35228,P01819,P20956,P01829,Q9UMZ3,P20957,P39804,Q91289,P01694,O88488,P22080,P0C5E4
1129,SEQ_CB062327B955,R0373_adnectin_SEQ_CB062327B955|adnectin|Tenascin-C,R0373_adnectin_SEQ_CB062327B955|adnectin|Tenascin-C,20,P22081,0.6707497857692246,medium,P83907,Q16473,P01819,P20956,B6HQN4,P01829,P01811,P01651,P01694,P01644,P01645,P01823,P01647,P20957,P01648,P01652,P04940,Q14213,P01825
1130,SEQ_A7DCFDC28978,R0374_adnectin_SEQ_A7DCFDC28978|adnectin|Tenascin-C,R0374_adnectin_SEQ_A7DCFDC28978|adnectin|Tenascin-C,20,P22081,0.6597126864450544,medium,P83907,Q16473,B6HQN4,P01819,P20956,P01829,P01694,P01644,P01645,P01647,P20957,P01648,P01651,P01811,P04940,P01675,P01823,P01652,P01678
1131,SEQ_C85372E3FD33,R0375_adnectin_SEQ_C85372E3FD33|adnectin|Tenascin-C,R0375_adnectin_SEQ_C85372E3FD33|adnectin|Tenascin-C,20,P22081,0.6605075695628742,medium,P83907,P01819,Q16473,P20956,B6HQN4,P01829,P01811,P01651,P01694,P20957,P01644,P01645,P04940,P01647,P01648,P01675,P01652,P01823,P01678
1132,SEQ_0EE2F018124A,R0376_adnectin_SEQ_0EE2F018124A|adnectin|Tenascin-C,R0376_adnectin_SEQ_0EE2F018124A|adnectin|Tenascin-C,20,P22081,0.6565056159490581,medium,P83907,Q16473,B6HQN4,P01819,P20956,P01829,P01651,P01647,P01644,P01645,P01648,P01811,P20957,P01694,P01675,P04940,P01652,P01823,P01678
1133,SEQ_ABFB8BE1998E,R0377_adnectin_SEQ_ABFB8BE1998E|adnectin|Tenascin-C,R0377_adnectin_SEQ_ABFB8BE1998E|adnectin|Tenascin-C,20,P22081,0.6569350084149832,medium,P83907,B6HQN4,Q16473,P20956,P01819,P01829,P20957,P01651,P01811,P01645,P01644,P01694,P01648,P01647,P01652,P01823,P04940,P01675,P39804
1134,SEQ_DD1A57A020FF,R0378_adnectin_SEQ_DD1A57A020FF|adnectin|Tenascin-C,R0378_adnectin_SEQ_DD1A57A020FF|adnectin|Tenascin-C,20,P22081,0.6661309665606119,medium,P83907,Q16473,P20956,P01819,B6HQN4,P01829,P20957,P01811,P01694,P01823,P01651,P01644,P01645,P04940,P01647,P01648,P01652,P01675,Q969J5
1135,SEQ_94B08B5935AE,R0379_adnectin_SEQ_94B08B5935AE|adnectin|Tencon,R0379_adnectin_SEQ_94B08B5935AE|adnectin|Tencon,20,P22081,0.662141348543539,medium,Q16473,P83907,B6HQN4,Q969J5,P01694,P20956,P01819,P39804,Q14213,Q80XF5,Q7TNI4,P01829,P01823,P01647,P01651,P01645,P01644,P01811,P01652
1142,SEQ_EFB90CF3F8B3,R0380_Ibody_SEQ_EFB90CF3F8B3|Ibody|human neural cell adhesion molecule,R0380_Ibody_SEQ_EFB90CF3F8B3|Ibody|human_neural_cell_adhesion_molecule,20,P83907,0.7196923513652322,high,P01645,P01648,P01644,P01652,P01653,P01651,P01647,P01650,P01693,P01646,P01694,P01676,P84750,P01678,P01675,P01802,P01684,P01800,P04940
1143,SEQ_16BBFE134FE9,R0381_Ibody_SEQ_16BBFE134FE9|Ibody|human neural cell adhesion molecule,R0381_Ibody_SEQ_16BBFE134FE9|Ibody|human_neural_cell_adhesion_molecule,20,P83907,0.7213908979557608,high,P01645,P01648,P01644,P01652,P01653,P01651,P01647,P01650,P01693,P01646,P01694,P01676,P84750,P01678,P01675,P01684,P01802,P04940,P01800
1145,SEQ_2B241F0F280E,R0382_Ibody_SEQ_2B241F0F280E|Ibody|NCAM Ig domain 1,R0382_Ibody_SEQ_2B241F0F280E|Ibody|NCAM_Ig_domain_1,20,P83907,0.7190152344866085,high,P01648,P01645,P01644,P01652,P01651,P01653,P01650,P01647,P01693,P01676,P01678,P84750,P01675,P01646,P01694,P01802,P01823,P04940,P01800
1154,SEQ_B0766FE71707,R0383_Ibody_SEQ_B0766FE71707|Ibody|human neural cell adhesion molecule,R0383_Ibody_SEQ_B0766FE71707|Ibody|human_neural_cell_adhesion_molecule,20,P83907,0.7102119135755061,high,P01648,P01645,P01644,P01652,P01653,P01651,P01647,P01650,P01693,P01646,P01676,P84750,P01678,P01694,P01675,P04940,P01802,P01823,P01800
1155,SEQ_3A2B3670A3EA,R0384_Ibody_SEQ_3A2B3670A3EA|Ibody|human neural cell adhesion molecule,R0384_Ibody_SEQ_3A2B3670A3EA|Ibody|human_neural_cell_adhesion_molecule,20,P83907,0.710356653377886,high,P01648,P01645,P01644,P01652,P01653,P01651,P01650,P01647,P01693,P01676,P01646,P01694,P01678,P01675,P84750,P04940,P01802,P01823,P01800
1164,SEQ_BAF08366614F,R0385_kunitz_SEQ_BAF08366614F|kunitz|,R0385_kunitz_SEQ_BAF08366614F|kunitz|,20,P86862,0.996399998664856,high,P29216,P81162,P0DN19,P25660,P0DKL8,W4VSH9,Q9TWF8,Q9TWG0,P10280,P0DMJ3,P81548,P20229,P0DMJ2,Q9TWF9,P00984,Q7LZE3,P26228,P81547,P0DMJ4
1165,SEQ_E7C5FCA311CE,R0386_phdfingerdomain_SEQ_E7C5FCA311CE|phdfingerdomain|PHD finger protein ALFIN-LIKE 1,R0386_phdfingerdomain_SEQ_E7C5FCA311CE|phdfingerdomain|PHD_finger_protein_ALFIN-LIKE_1,20,Q9M9L0,0.4486957107653904,low,Q3ZCF6,Q9CPX9,Q5R8A2,Q9NYG5,Q54L48,Q9UT86,Q9WTZ1,Q9UBF6,Q9DAG9,Q9FEN9,F4JL28,Q9SRM4,Q8N6M9,Q9FFF5,Q9M2B4,B8BJV8,Q2R837,Q8S8M9,B8B8I3
1166,SEQ_F868D804C713,R0387_affimer_SEQ_F868D804C713|affimer|,R0387_affimer_SEQ_F868D804C713|affimer|,20,Q9D269,1.0,high,Q8K5A3,Q9H112,Q80ZN5,O60676,Q8VII3,Q8VIH8,Q80Y72,Q9H114,P32766,O88969,Q8VII2,Q2NKZ5,Q9Z0H6,Q9DAN8,Q32KQ9,P19313,Q5W188,Q29RH0,E3P6N9
1170,SEQ_7437A705B3E7,R0388_adnectin_SEQ_7437A705B3E7|adnectin|Fibronectin type III domain,R0388_adnectin_SEQ_7437A705B3E7|adnectin|Fibronectin_type_III_domain,20,P22081,0.6582402971417238,medium,Q16473,P83907,Q969J5,Q14213,Q80XF5,Q7TNI4,P39804,O35228,P01819,P01825,P20956,B6HQN4,P20957,P01829,P01694,A0A0G2JMI3,P01811,P04940,P01693
1172,SEQ_92B785CB0A9C,R0389_adnectin_SEQ_92B785CB0A9C|adnectin|Fibronectin type III domain,R0389_adnectin_SEQ_92B785CB0A9C|adnectin|Fibronectin_type_III_domain,20,P22081,0.6624171744082545,medium,Q16473,P83907,Q969J5,Q7TNI4,Q80XF5,Q14213,P39804,O35228,P01819,P01825,P20956,P01829,B6HQN4,P20957,A0A0G2JMI3,Q91289,P01811,P01694,A0A075B6R2
1174,SEQ_2ACB4262357A,R0390_adnectin_SEQ_2ACB4262357A|adnectin|Fibronectin type III domain,R0390_adnectin_SEQ_2ACB4262357A|adnectin|Fibronectin_type_III_domain,20,P22081,0.6603483504494569,medium,Q16473,Q14213,P83907,Q969J5,Q80XF5,Q7TNI4,O35228,P39804,Q91289,B6HQN4,P01825,Q9UMZ3,P01819,P20956,P23468,Q28902,P20957,P01829,Q64487
1175,SEQ_5879171F20E0,R0391_adnectin_SEQ_5879171F20E0|adnectin|Fibronectin type III domain,R0391_adnectin_SEQ_5879171F20E0|adnectin|Fibronectin_type_III_domain,20,P22081,0.6637695547163105,medium,Q16473,P83907,Q14213,Q969J5,Q7TNI4,Q80XF5,P39804,O35228,P01825,P01819,B6HQN4,P20956,P01829,A0A075B6R2,A0A0G2JMI3,A0A0C4DH41,P0DP06,P0DP08,P20957
1180,SEQ_E338355B79B3,R0392_centyrin_SEQ_E338355B79B3|centyrin|,R0392_centyrin_SEQ_E338355B79B3|centyrin|,20,Q6DF48,0.37085796112183544,low,Q6DD09,Q9DEX1,Q2KJ21,A2BGD5,Q5R7H1,O18737,Q8CGU1,Q66HR5,Q9SB67,Q13137,Q5RD60,Q9P1Z2,Q6P132,Q4R914,Q1LWB0,Q9P7K7,P70615,Q21443,A2A6M5
1181,SEQ_913DFA4440AF,R0393_centyrin_SEQ_913DFA4440AF|centyrin|,R0393_centyrin_SEQ_913DFA4440AF|centyrin|,20,Q6DF48,0.3713319458185911,low,Q6DD09,Q9DEX1,Q2KJ21,P70615,P09010,P14733,Q5R7H1,P20700,P14731,Q9SB67,O18737,Q03252,Q13137,Q21443,A2BGD5,P14732,P21619,Q66HR5,Q4R914
1183,SEQ_B6AD7D38E870,R0394_phdfingerdomain_SEQ_B6AD7D38E870|phdfingerdomain|Protein PARALOG OF AIPP2,R0394_phdfingerdomain_SEQ_B6AD7D38E870|phdfingerdomain|Protein_PARALOG_OF_AIPP2,20,Q9M9L0,0.39286021526504555,low,Q3ZCF6,Q9CPX9,Q54L48,Q5R8A2,Q9NYG5,Q9DAG9,Q9UT86,Q9BWX1,Q6AXW4,Q9FEN9,Q9UBF6,Q9WTZ1,F4JL28,Q9D4J7,Q5R5Z2,Q8IWS0,Q08DR0,Q9W636,P0DH78
